cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,-0.09707546,-0.4944574362727984,-0.26594225175427955,1.3388368600709517,3.7243518005454637,5.597687363295328,6.822345076383257,7.388497822239439,7.430579590281791,7.184898496950051,6.879997785349351,6.653199602676379,6.523150049696969,6.420377082698926,6.252114302567546,5.964892192354792,5.574111161799175,5.1507090063370615,4.779136142811281,4.513690109077879,4.3552206461225715,4.254050307319025,4.131191206779322,3.90622708115981,3.5234824128825233,2.97093425,2.2861424685477734,1.544351817700346,0.8301106010368743,0.20335680587686167,-0.32324376841522456,-0.7830112254229377,-1.2304898647201838,-1.7074917646195462,-2.2187527016371797,-2.728475803981018,-3.176009182021321,-3.4996705930413805,-3.65707583896513,-3.6363207900031522,-3.45892891137148,-3.1775104674174703,-2.8687574609258975,-2.620239324776552,-2.510956426333741,-2.589633169770831,-2.857750261075427,-3.2640165741242457,-3.7139422245853404,-4.093777108075332,-4.30335896,-4.288558317177286,-4.062183665984898,-3.703276830153133,-3.3301084646745553,-3.052069342994013,-2.918278434262303,-2.888831729091317,-2.849196960269566,-2.6674271898527744,-2.2679270395130238,-1.6817322802488386,-1.0426912371866761,-0.5280895295373267,-0.2743907640041614,-0.3135405644380489,-0.562771238179999,-0.8692162937910841,-1.081313241170617,-1.1101259821632963,-0.956360070978243,-0.699135894805919,-0.457136386076728,-0.33915454357373037,-0.40236046969203704,-0.6331148999999969,-0.9562371977425014,-1.2673919392669348,-1.4749859573758592,-1.5355687588475277,-1.4697812306873945,-1.3530126173805312,-1.2846327193615878,-1.3488644194482717,-1.5840492493964493,-1.9717767193071944,-2.4453645043006813,-2.8895208019224135,-3.099109634469335,-2.9480775039121454,-2.4186961019192905,-1.615708687467873,-0.757280637638415,-0.09898398030352366,0.19212320196675692,0.14075275976673057,-0.043291736038328005,-0.11534263963536649,-0.029458464454245006,4.089823344604954e-08,0.0
7kg_10bpm,2AB,-0.57557148,-1.610426090546274,-0.15356153394369276,4.014000984050416,8.071121039754232,10.360128561683798,11.328618847196168,11.291880368026776,10.603055039864957,9.671879444802848,8.823284219168915,8.212503064503164,7.902688658472485,7.79422690094133,7.770991722539233,7.716338897691796,7.544367589466267,7.239010800671049,6.819284883247435,6.329555374403529,5.82670597646041,5.338640643203899,4.871333023191104,4.401548361342254,3.898022837371159,3.3292347599999994,2.675041636759266,1.9458981446350416,1.1636112212712355,0.3665682520704666,-0.39591239410762696,-1.0833452058126785,-1.6552109784652416,-2.093954522142267,-2.4068806024179854,-2.608835339368803,-2.72589878383425,-2.797417635343307,-2.847000096229562,-2.890011934406836,-2.933693237717138,-2.982007010098201,-3.044837535698267,-3.1434784774772817,-3.3008161469955195,-3.537027753805889,-3.865231200698956,-4.253459941727879,-4.657115557226113,-5.007156357048523,-5.23441641,-5.298635511560646,-5.180816772123766,-4.90534228175087,-4.549117206193876,-4.191322966206179,-3.9296092418615967,-3.817792309882145,-3.8682172921459936,-4.052589400319644,-4.278148366838131,-4.440658105217251,-4.4508820277298256,-4.2486295280636135,-3.884385119178432,-3.44474720851145,-3.061459541118369,-2.8424303464268244,-2.8185720443782323,-2.953929006973473,-3.126038919160619,-3.203308100675802,-3.095376070169488,-2.7539409177096914,-2.255647673596567,-1.6912645100000003,-1.1697759187692809,-0.7777145767058025,-0.5503791542458186,-0.5019776198762559,-0.6288748279680586,-0.9007481678618461,-1.2989335430930824,-1.8038040729665241,-2.3532681680253615,-2.8726177308249903,-3.221558832449636,-3.0523234206964296,-2.3661125437373993,-1.4114862274585727,-0.5468040636160534,-0.06402933107026691,0.038621929068304965,0.003794439152690517,-6.802140831036566e-13,1.0543324017991915e-22,-1.5571101178628674e-32,2.1385919091579655e-42,-2.5878204041911854e-52,2.325267098917071e-62,0.0
7kg_10bpm,3AB,-0.35491066,-0.9379031672112094,1.3007631187581794,5.821591874772227,9.03588832770176,10.7221239262757,11.314464386374073,11.003134537523449,10.270865371266753,9.403583984046255,8.650302407309217,8.097750412705501,7.757421179035885,7.555045445786175,7.400992994431158,7.225120681968846,6.989949134769505,6.691367379798159,6.332667649687778,5.937573163039067,5.517106829999999,5.080883352713638,4.6376289984053605,4.192745439738985,3.749041411119909,3.3031762616609535,2.842830294316167,2.3512331610596875,1.8133388432519115,1.2094075509858324,0.5487313967109227,-0.1572936483184335,-0.8800493973806395,-1.5848720697624163,-2.234700368243217,-2.7975341988778903,-3.2582391176052163,-3.5881362920784357,-3.7942154500822167,-3.8814167069680594,-3.8511105399999996,-3.74210357013639,-3.5807717333770794,-3.406449053175858,-3.254738882079147,-3.1598123297145917,-3.1455721946721322,-3.2208296042302047,-3.4048353357201386,-3.682918731345016,-4.043578116631019,-4.467775986109579,-4.911096096640601,-5.327410532246412,-5.649945929436723,-5.825082273890807,-5.77735808592292,-5.472846621707222,-4.921963106425664,-4.144603898140862,-3.27619211,-2.449806420613025,-1.854438445750088,-1.590161872318748,-1.7325806368887884,-2.2370172840018365,-2.941399611116363,-3.647282055163147,-4.1286143508782525,-4.258684920257331,-3.9303035512006157,-3.275590520324539,-2.437315097990221,-1.6309753363411128,-1.0225756453118424,-0.7226709341088765,-0.7346145062290113,-0.9622687010301523,-1.298594077561132,-1.6123614548506473,-1.8358694200000014,-1.9317295248347885,-1.9482459163199806,-1.9331233687812932,-1.9282056059233033,-1.9572591873271674,-2.0083849062834616,-2.0235001147752922,-1.943717573422919,-1.7115724072013403,-1.3443234247091012,-0.9058139543958638,-0.4899510782250176,-0.2069617176891991,-0.11057892903927911,-0.20374334788132795,-0.3844612165284941,-0.5480521779700186,-0.5851874595985057,-0.4503189392688647,-0.21995969
7kg_10bpm,4AB,-0.00332947,0.3215158611470573,1.8156491591250956,4.205771590096254,5.9696167203351225,7.223975207194029,8.278905627785154,9.033765184822276,9.488339727588938,9.637263378808246,9.515988823591524,9.211328056733583,8.774748610025036,8.264082815901222,7.7236681258213125,7.189916658198424,6.700346455328689,6.280056091244506,5.958291114685871,5.723666046665738,5.556484153624767,5.425203772458746,5.2876102127593905,5.116271736929992,4.891140216558684,4.61544007,4.29017863900526,3.9161582720291244,3.4887104279042624,2.9835277683224484,2.3759681508830224,1.6526488256446592,0.7934874055329263,-0.1701104849298844,-1.1968778863398102,-2.2195166843859475,-3.1601203301946024,-3.9491375565903093,-4.509581878318915,-4.8419760419318365,-4.945794673014492,-4.868741910934281,-4.692343970933078,-4.487032626789198,-4.321633302260074,-4.226948583680098,-4.217645484877703,-4.267324254168474,-4.346626380097365,-4.4268750845346485,-4.493200390000001,-4.547695059559509,-4.6063679937667565,-4.685750804905187,-4.79443264714265,-4.923620380082268,-5.047938516823828,-5.136248751331462,-5.164356846355004,-5.133091634662518,-5.0559795430138115,-4.9701114181018395,-4.903079982726142,-4.8723610718477115,-4.859670696895286,-4.833657268712473,-4.744298509807229,-4.569875744697461,-4.302807453996757,-3.9642391152472456,-3.5976018492217814,-3.236028609608656,-2.8973395167847134,-2.5742544129234064,-2.2489094666372496,-1.90580345,-1.5474441952601272,-1.1958595514070784,-0.8859872248754537,-0.646875496852753,-0.5077016547312301,-0.4454578007519294,-0.42550493280882323,-0.3785443004167492,-0.24071005677604823,0.03890908396169615,0.40023340071814756,0.6495368545427077,0.6391529537225061,0.39548144328043566,0.11702543699029487,0.0047357436775254886,-3.4213433810890414e-09,-3.5857710611254073e-19,4.789920030097081e-28,1.321392951206382e-37,-5.669448236469954e-47,-2.9094178597264694e-56,4.85165061524459e-66,5.170438491718146e-75,0.0
7kg_10bpm,5AB,-0.31372999,-0.1889046385472603,1.81706833396572,4.9004156739651945,7.00718518802733,7.971825894354297,8.211691240233186,8.062258276535522,7.746043837595664,7.47792086689638,7.344434590491643,7.374269208645789,7.489246857288879,7.6178671090104295,7.6811460235982025,7.6437270359473475,7.476701129831009,7.2175952472492595,6.895559467978494,6.554746349276021,6.225778539813798,5.927364587909756,5.650212322815951,5.374365213970605,5.064190593731372,4.691929274905228,4.219882379707841,3.64358047382463,2.964953370775241,2.1993782161426747,1.3867810145789583,0.5606806914690479,-0.24276127185612922,-1.0019395542158995,-1.6956962827205748,-2.324727314948149,-2.875302829334295,-3.338040281845364,-3.7029398616903784,-3.9374596585318664,-4.051694281038775,-4.042098166946706,-3.9385253074571085,-3.7849114976803424,-3.6304008408402364,-3.519832233430603,-3.4848756022550638,-3.5375546604455734,-3.6633305414896347,-3.8526546477982038,-4.07732420211336,-4.324949646376993,-4.585019508181244,-4.846418126688258,-5.087496373850615,-5.2732616762657765,-5.355945683022808,-5.264320296882723,-4.971661348406266,-4.433677957887885,-3.6927657157436444,-2.8198384440108084,-1.935191948070568,-1.172052563796792,-0.668301980586435,-0.49407209617401127,-0.6383026599380115,-1.0625086336422342,-1.6027841032386847,-2.1257255530302137,-2.499960162456297,-2.678200654642414,-2.635265193032895,-2.4671448618126273,-2.254384441374897,-2.094235655948968,-2.03604225872806,-2.1202544084725305,-2.3170910111105636,-2.6057773331601033,-2.9566119542939115,-3.342420818510047,-3.7468614776481,-4.120968754688607,-4.376290924321356,-4.424631380137891,-4.2255468464041845,-3.7157998429673516,-2.946876784688853,-2.0218664796577617,-1.0903357661038113,-0.34161422107081096,0.08993491402094178,0.16170706172306473,-0.041111766795920025,-0.4042609382169329,-0.7007360103451936,-0.8076106196752885,-0.6734373742437415,-0.36250617810208763,-0.08740671
7kg_10bpm,6AB,-0.02588073,-0.08785636156203185,0.994395054604616,3.801387313246469,6.531315199803068,8.456030269962765,9.60162604466688,10.064015981286468,9.893279226156022,9.413793088322382,8.874493267419133,8.490282002972853,8.327141017444868,8.354809062134024,8.437049640431779,8.414041632227974,8.194585353866609,7.7083037996815715,7.015137029105224,6.2013050065788855,5.402132396940134,4.723183183070844,4.257269525753898,3.987508838447939,3.8981110190902872,3.871997695098025,3.809246628930506,3.6146284611615194,3.2243434652444063,2.6160063840341397,1.8249310971643855,0.893358094771128,-0.09334401105329322,-1.0620631049799372,-1.9535091670956057,-2.712505372689066,-3.320448601300124,-3.7662867663371205,-4.0523143140699664,-4.203766507465334,-4.22739639962233,-4.165308930552082,-4.032964136306496,-3.8717970815426086,-3.7113239921718373,-3.5847653107851905,-3.5181754740867035,-3.5325420801119676,-3.6243051194219214,-3.7887943847551115,-3.9870986279225873,-4.178997878889181,-4.319970931655285,-4.36611708432349,-4.297013607262443,-4.110822070590986,-3.824470612142342,-3.4808728031203864,-3.124512089198337,-2.7994097843722896,-2.5486059415324367,-2.379976739736147,-2.298998612705748,-2.2844095177840775,-2.3114415825582064,-2.355749983205294,-2.4019165395527966,-2.447542343677393,-2.499943374478434,-2.571470256169484,-2.6639830090432244,-2.7704746303453565,-2.8671401809780073,-2.9264502612035286,-2.917043957437756,-2.836302718660685,-2.685821109997573,-2.5125169134735423,-2.3704635627185846,-2.314296795963211,-2.3902526713971874,-2.6039504611042026,-2.904319797428961,-3.2105510073055625,-3.43641408800113,-3.4730048524705266,-3.305801359708918,-2.910827379971844,-2.366484671346683,-1.7501235782163662,-1.1652060746610273,-0.689517280514123,-0.38441073643773893,-0.24752751096244863,-0.2919541858721875,-0.44980035461155526,-0.6910931787741836,-0.9422476388863065,-1.1478948049393585,-1.251890989356477,-1.20866587
7kg_10bpm,7AB,-0.02877977,0.19214131848053523,1.2504288454336752,3.092546834952179,4.856790744570382,6.064718695088254,6.9512307292841955,7.507375220441029,7.780878239984295,7.850499137874392,7.821820601952723,7.732586803948789,7.574764736260055,7.313360232363162,6.940962575431543,6.48035137079742,5.993922947440582,5.56849227175226,5.260373618069557,5.090656211045156,5.02499741381162,4.977624260366371,4.867274970320749,4.615565548018254,4.205277015263783,3.6652121734987473,3.0485865933844516,2.428114000838211,1.858508135060912,1.362215411109721,0.935659858823925,0.5394253229378686,0.1307803834712918,-0.32406150692540986,-0.8439227794841642,-1.4083702931970965,-1.9843295083713068,-2.5237755341948063,-2.9786395545086277,-3.3199059764721697,-3.53094904018622,-3.602009130929723,-3.5658082724543854,-3.451002606008212,-3.2909906508437516,-3.12367491879485,-2.977092716106867,-2.872278718870442,-2.8352007928789043,-2.8772822573734333,-3.008310024077319,-3.2274439914917004,-3.4985696560497273,-3.753212573847251,-3.9097360405388386,-3.861326382194035,-3.578661123517375,-3.0875907705343906,-2.48182561435381,-1.9383292007675026,-1.6242193208078228,-1.652898568914831,-2.086406807101525,-2.795296891096735,-3.604769831220948,-4.30776149970276,-4.705046209915239,-4.730745208260939,-4.399427562484543,-3.790375624337211,-3.078203623479845,-2.4029473885846184,-1.875277964975384,-1.5670585408914763,-1.4659679247645792,-1.5411775631016404,-1.748830315830774,-2.0200357275389473,-2.300574513068752,-2.5418380371904887,-2.6886434523015263,-2.7076018566457076,-2.572972942581066,-2.2689178884962558,-1.820525244591744,-1.314120216432013,-0.8597346288219087,-0.5693991421524391,-0.46975851221075493,-0.5279524976402126,-0.6658630471477205,-0.7801565788467467,-0.815733704624702,-0.775336442923394,-0.7149010301349479,-0.7009473348819871,-0.7534574546168876,-0.8448918772915487,-0.8884494942049614,-0.7920822732623686,-0.53740227
7kg_10bpm,8AB,-0.15550921,-0.4851303984659962,1.0379369030248973,4.401085820219903,7.187098874137974,8.733475109510136,9.412703239553078,9.365844445962095,8.914130711102835,8.31579377347179,7.8302176231452165,7.574494613798162,7.564362590896711,7.706810435267114,7.842129383204522,7.842465589106124,7.616648866479847,7.197001682953387,6.648631685484205,6.078421151076333,5.571276797860681,5.164105343050802,4.844199038873346,4.543264893385292,4.192010013705421,3.7146650899999982,3.092826570011699,2.3279100370747794,1.4502156797741557,0.5261416681489922,-0.39063651132570815,-1.23938307338809,-1.988055992249425,-2.6122569560312385,-3.090008559243675,-3.4408076327088097,-3.676600245469765,-3.8133093430894482,-3.8855797002089747,-3.910185306916527,-3.894704152487973,-3.8438331714218004,-3.7525742871770156,-3.613465785019388,-3.4384525397603296,-3.2452732158522544,-3.0697649289294007,-2.9483293608756327,-2.9106505408654666,-2.982360977737712,-3.13868854,-3.3442865864518017,-3.5311051508183198,-3.627012430207659,-3.5746654358428662,-3.3226325924546822,-2.9152545608516047,-2.416920162347431,-1.9457080881101905,-1.6178505589578167,-1.5125096432090686,-1.689486926657766,-2.0750764001193045,-2.5868350284404062,-3.1034016600781857,-3.5148962711883143,-3.7566182768067,-3.77640138604273,-3.6143761941239956,-3.3055018433725536,-2.8888764886552334,-2.42465488121108,-1.9483739292101518,-1.4983663038719732,-1.1026198311565691,-0.78479968,-0.5805414462136529,-0.49418546328291857,-0.5349312255296433,-0.7242287673244941,-1.042979226605153,-1.4789553167603602,-2.0115228161219516,-2.5740844181526072,-3.099185284994675,-3.4551843596769736,-3.534251080389774,-3.3053749056994106,-2.7727934313513773,-2.0918306910859723,-1.4088929315201189,-0.8875323758628023,-0.6235416168715989,-0.6207215144846224,-0.8457096016999245,-1.1413770841854822,-1.373342026081588,-1.4519372309534997,-1.31198766325523,-0.9756474010704979,-0.55360149
7kg_10bpm,10AB,0.00094986,0.058736288041198126,0.5962288019420989,2.342943255172881,4.878381919542179,6.822473742443672,8.040742845503031,8.349579927206333,7.916624171425263,7.148592682175065,6.460477190920978,6.08935922067116,6.04168414407454,6.16909303555207,6.294337464496449,6.301335709999999,6.15384201150716,5.865118831623799,5.461562043980458,4.964677344035273,4.389684406983768,3.749664043036274,3.0589279393512507,2.334637490397606,1.5962503708761506,0.8618868899999979,0.14239738205760288,-0.5622828730876472,-1.259736368648492,-1.9559873664360292,-2.647155354755066,-3.3176157684409238,-3.945655870526326,-4.511920820995626,-5.003854222994456,-5.413096317228142,-5.729187065139259,-5.9362138946657765,-6.016013007353805,-5.955303145584698,-5.751267191496419,-5.412920206206696,-4.959964987185785,-4.4216684637650125,-3.8353904778298404,-3.2417481332993114,-2.6744291132420552,-2.147252721027559,-1.6461741691476857,-1.1351820848370686,-0.5788513199999967,0.027638706233217694,0.6390467783710324,1.1683152379212214,1.5278296277302377,1.683488174907712,1.6817550562223507,1.626701950624686,1.6172818872127876,1.6799384433316071,1.7389888394180466,1.6477493158772487,1.2651833270539286,0.5353485168239545,-0.47271014961453417,-1.582783347531004,-2.5744908981777437,-3.260963906853593,-3.5513951994882724,-3.4790547769421942,-3.186506129342966,-2.8716462522381265,-2.7125905604869063,-2.800414915937972,-3.1066307771829207,-3.49628422,-3.7789234214620073,-3.7780712858941925,-3.3961654432658857,-2.654807105937796,-1.697466882337158,-0.7491494930629797,-0.037963136650881406,0.28918097245704655,0.21476583344917047,-0.13077837753484392,-0.5388651053979231,-0.8306862028731411,-0.9294749453298852,-0.8655791236947239,-0.7262080225544854,-0.5910894599519091,-0.49415143094611075,-0.42583039191187966,-0.36116096376232665,-0.2860200065829759,-0.2036348831064624,-0.1240687156359072,-0.05430863461882884,-0.006775798939381584,0.0
7kg_10bpm,11AB,-0.05163563,-0.477090753128571,1.3283660943607443,4.717231065483179,6.792059336819093,7.652608210821078,7.5438107576002,7.029990457676523,6.677000943715707,6.775861792422979,7.257729106238819,7.816077446414097,8.113144923668422,7.97056993186763,7.420150747449509,6.635284664080282,5.835109930942427,5.192412738968151,4.778961252480667,4.5528926823993565,4.385755465447613,4.120761647109633,3.6402744176657933,2.9118410213112393,1.9913148845320676,0.9866084749571952,0.004551950093982591,-0.8885008877041617,-1.6796362159990936,-2.397379803586339,-3.0802070953734693,-3.7529942833651795,-4.416356844539943,-5.047174022528836,-5.60612698038128,-6.046914237344631,-6.325037406951308,-6.406213931086532,-6.27443489125194,-5.937954858440599,-5.43100868114379,-4.810520873776348,-4.147015433330904,-3.5133167892639294,-2.972714922579427,-2.5635604889948427,-2.293891547221734,-2.1414537766400685,-2.0586955318124183,-1.987504400761042,-1.8768712293014764,-1.694980730720495,-1.4297588727618886,-1.0807947728737173,-0.6532013955592977,-0.1620149929280046,0.3545668503838878,0.8259382664449382,1.158683560704061,1.263968440423656,1.098620286243705,0.6902364427206826,0.11557920963907731,-0.5339506617616613,-1.1832295964013058,-1.783394671316754,-2.298451831948673,-2.687851576473451,-2.9049257032597833,-2.917735297281308,-2.7420364594734563,-2.4660073365053305,-2.246629559871183,-2.263791673539067,-2.6384486167625747,-3.345724588886799,-4.153950251480201,-4.683288052366801,-4.562314200003653,-3.606499463482672,-1.9450571333732949,0.0044701343786722894,1.6830491015277689,2.6476473402734886,2.780580253657101,2.2845566978765284,1.5162259205816409,0.78236158444149,0.2240100879650624,-0.1674129751055047,-0.4522365768055315,-0.6588218591700028,-0.7707101508480337,-0.7731987006788162,-0.6922135782555296,-0.5877440825140524,-0.5132853903425646,-0.4818646034845855,-0.46791247237452094,-0.43729337062027274,-0.37542793
